               date            open            high             low     close        MA5       MA10   prev_MA5  prev_MA10  golden_cross  dead_cross      slowk      slowd  stoch_position     prev_k     prev_d  stochastic_golden_cross  stochastic_dead_cross        MACD  signal_macd          MA20         std         upper         lower   band_width         rsi        pdi        mdi        ADX    buy   sell  position_long  position_short
132   1683571680000  27509.07000000  27531.66000000  27496.92000000  27498.10  27502.272  27507.670  27496.962  27510.584         False       False  69.950339  66.081934               0  69.709421  57.276404                    False                  False  -65.649525   -78.448795  27499.065714   37.850008  27574.765731  27423.365698   151.400033   42.272117  15.569559  27.428514  40.434944  False  False          False           False
133   1683571860000  27498.10000000  27502.23000000  27464.60000000  27467.75  27500.958  27497.942  27502.272  27507.670          True       False  55.814185  65.157982               0  69.950339  66.081934                    False                   True  -64.577392   -75.674514  27503.246429   29.466833  27562.180094  27444.312763   117.867330   38.439807  14.888960  29.984019  39.949557  False  False          False           False
134   1683572040000  27467.75000000  27511.52000000  27465.77000000  27475.23  27496.314  27494.964  27500.958  27497.942         False       False  39.197327  54.987284               0  55.814185  65.157982                    False                  False  -62.404782   -73.020568  27504.727143   27.267670  27559.262483  27450.191803   109.070680   51.404366  15.182217  28.360808  39.257851  False  False          False           False
135   1683572220000  27475.22000000  27475.27000000  27438.60000000  27475.26  27485.082  27490.491  27496.314  27494.964         False        True  26.049819  40.353777               0  39.197327  54.987284                    False                  False  -59.989035   -70.414261  27501.584286   27.989914  27557.564113  27445.604458   111.959655   50.366386  14.504434  30.402451  38.982446  False  False          False           False
136   1683572400000  27475.26000000  27475.27000000  27390.72000000  27401.87  27463.642  27480.302  27485.082  27490.491         False       False  16.473557  27.240234               1  26.049819  40.353777                    False                  False  -63.267194   -68.984848  27492.629286   37.567061  27567.763408  27417.495163   150.268245   22.800496  13.057038  33.019617  39.292608  False  False          False           False
137   1683572580000  27401.86000000  27436.75000000  27367.91000000  27417.88  27447.598  27474.935  27463.642  27480.302         False       False  18.327859  20.283745               1  16.473557  27.240234                    False                  False  -63.837407   -67.955360  27482.118571   36.316593  27554.751757  27409.485386   145.266372   14.646905  12.006493  33.028885  39.820260  False  False          False           False
138   1683572760000  27417.88000000  27417.88000000  27360.00000000  27380.09  27430.066  27465.512  27447.598  27474.935         False       False  14.269450  16.356955               1  18.327859  20.283745                    False                  False  -66.571250   -67.678538  27473.195714   44.649750  27562.495215  27383.896214   178.599001   13.362118  11.191191  31.714060  40.392598  False  False          False           False
139   1683572940000  27380.10000000  27417.88000000  27354.83000000  27363.94  27407.808  27452.061  27430.066  27465.512         False       False  13.799576  15.465628               1  14.269450  16.356955                    False                  False  -69.242823   -67.991395  27462.049286   51.084025  27564.217335  27359.881237   204.336098   12.980132  10.365471  29.979110  40.979934  False   True          False           False
140   1683573120000  27363.95000000  27395.43000000  27363.94000000  27395.43  27391.842  27438.462  27407.808  27452.061         False       False  12.644802  13.571276               1  13.799576  15.465628                    False                  False  -68.034820   -68.000080  27454.311429   52.465822  27559.243072  27349.379785   209.863287   30.168915   9.969817  28.834795  41.525317  False   True          False           False
141   1683573300000  27395.43000000  27442.03000000  27345.00000000  27345.01  27380.470  27422.056  27391.842  27438.462         False       False   8.933358  11.792579               1  12.644802  13.571276                    False                  False  -70.335162   -68.467096  27445.272857   59.672507  27564.617871  27325.927844   238.690027   21.098189  14.248213  25.593129  40.593169  False   True          False           False
